dt   Re(C(t))    Im(C(t))   Re(F(t))    Im(F(t))
 68.5000   -0.757477   -0.386409   -0.757477   -0.386409
 69.0000   -0.575120   -0.644135   -0.575120   -0.644135
 69.5000   -0.297097   -0.813057   -0.297097   -0.813057
 70.0000    0.027890   -0.865198    0.027890   -0.865198
 70.5000    0.342243   -0.792781    0.342243   -0.792781
 71.0000    0.591233   -0.609624    0.591233   -0.609624
 71.5000    0.734054   -0.348271    0.734054   -0.348271
 72.0000    0.751763   -0.053481    0.751763   -0.053481
 72.5000    0.650386    0.226559    0.650386    0.226559
 73.0000    0.458598    0.449412    0.458598    0.449412
 73.5000    0.220600    0.586066    0.220600    0.586066
 74.0000   -0.014108    0.625537   -0.014108    0.625537
 74.5000   -0.201698    0.575547   -0.201698    0.575547
 75.0000   -0.313215    0.459267   -0.313215    0.459267
 75.5000   -0.339976    0.309018   -0.339976    0.309018
 76.0000   -0.294031    0.158415   -0.294031    0.158415
 76.5000   -0.203724    0.034807   -0.203724    0.034807
 77.0000   -0.105532   -0.046306   -0.105532   -0.046306
 77.5000   -0.034223   -0.083651   -0.034223   -0.083651
 78.0000   -0.013734   -0.088927   -0.013734   -0.088927
 78.5000   -0.050975   -0.082327   -0.050975   -0.082327
 79.0000   -0.134053   -0.086008   -0.134053   -0.086008
 79.5000   -0.235329   -0.117178   -0.235329   -0.117178
 80.0000   -0.318574   -0.182519   -0.318574   -0.182519
 80.5000   -0.348496   -0.275382   -0.348496   -0.275382
 81.0000   -0.300318   -0.376511   -0.300318   -0.376511
 81.5000   -0.167086   -0.458212   -0.167086   -0.458212
 82.0000    0.037141   -0.491059    0.037141   -0.491059
 82.5000    0.279068   -0.451573    0.279068   -0.451573
 83.0000    0.512638   -0.329045    0.512638   -0.329045
 83.5000    0.688795   -0.129829    0.688795   -0.129829
 84.0000    0.766360    0.122080    0.766360    0.122080
 84.5000    0.721551    0.388487    0.721551    0.388487
 85.0000    0.553941    0.623882    0.553941    0.623882
 85.5000    0.287460    0.784389    0.287460    0.784389
 86.0000   -0.033861    0.836872   -0.033861    0.836872
 86.5000   -0.354534    0.766209   -0.354534    0.766209
 87.0000   -0.618753    0.579094   -0.618753    0.579094
 87.5000   -0.781626    0.303458   -0.781626    0.303458
 88.0000   -0.818039   -0.016464   -0.818039   -0.016464
 88.5000   -0.727258   -0.328452   -0.727258   -0.328452
 89.0000   -0.532331   -0.582276   -0.532331   -0.582276
 89.5000   -0.274503   -0.739241   -0.274503   -0.739241
 90.0000   -0.003983   -0.779302   -0.003983   -0.779302
 90.5000    0.230826   -0.704269    0.230826   -0.704269
 91.0000    0.393227   -0.536470    0.393227   -0.536470
 91.5000    0.465072   -0.313272    0.465072   -0.313272
 92.0000    0.449155   -0.078687    0.449155   -0.078687
 92.5000    0.366754    0.126009    0.366754    0.126009
 93.0000    0.251081    0.270586    0.251081    0.270586
 93.5000    0.138310    0.341294    0.138310    0.341294
 94.0000    0.058368    0.342300    0.058368    0.342300
 94.5000    0.027702    0.292941    0.027702    0.292941
 95.0000    0.045697    0.221567    0.045697    0.221567
 95.5000    0.095554    0.157532    0.095554    0.157532
 96.0000    0.149331    0.123288    0.149331    0.123288
 96.5000    0.175887    0.128514    0.175887    0.128514
 97.0000    0.149732    0.167692    0.149732    0.167692
 97.5000    0.058624    0.221719    0.058624    0.221719
 98.0000   -0.092011    0.263174   -0.092011    0.263174
